projet;nom_schema;titre;description;langue;info_temporelle;info_spatiale;droits_accès;license;createur;attribution;attribution;attribution;attribution;attribution;theme;theme;mots_clefs
ACTIVATE;activate_1.json;ACTIVATE: Multi-genus Rotational Field Trial;This data schema refers to the Activity 2.3 phenotypic dataset which is taken on our large, multi-genus field trial.;en;2023-2027;Canada;RESTREINT;NA;ACTIVATE, https://activating-crops.usask.ca/, pointOfContact;Curtis Pozniak, principalInvestigator, https://orcid.org/0000-0002-7536-3856;Kirstin Bett, principalInvestigator, https://orcid.org/0000-0001-7959-6959;NA;NA;NA;http://purl.obolibrary.org/obo/AGRO_00000469;https://id.nlm.nih.gov/mesh/M0508691.html;ACTIVATE, genomic breeding, nitrogen-use efficiency, crop rotation, greenhouse gas mitigation
BENEFIT;benefit_1.json;BENEFIT: Soil Sample Metadata;Metadata associated with the soil samples collected as part of the BENEFIT project.;en;2023-2027;Canada;RESTREINT;NA;BENEFIT Project, https://www.queensu.ca/microbes-for-agriculture/, pointOfContact;Ivan Oresnik, principalInvestigator, https://orcid.org/0000-0001-6668-1644;Matthew Bakker, principalInvestigator, https://orcid.org/0000-0003-0345-0587;Terrence Bell, principalInvestigator, https://orcid.org/0000-0003-3603-7270;Olivia Wilkins, principalInvestigator, https://orcid.org/0000-0001-9762-7069;Derek Brewin, principalInvestigator, https://orcid.org/0000-0003-4514-5441;http://purl.obolibrary.org/obo/OHMI_0000001;http://id.nlm.nih.gov/mesh/D000069599;BENEFIT, microbiome genomics, plant–microbe interactions, crop productivity, greenhouse gas mitigation
BENEFIT;benefit_2.json;BENEFIT: CCASM Strain Collection;Metadata associated with the bacterial strains deposited in the Canadian Collection of Agricultural Soil Microbes (CCASM).;en;2023-2027;Canada;RESTREINT;NA;BENEFIT Project, https://www.queensu.ca/microbes-for-agriculture/, pointOfContact;Ivan Oresnik, principalInvestigator, https://orcid.org/0000-0001-6668-1644;Matthew Bakker, principalInvestigator, https://orcid.org/0000-0003-0345-0587;Terrence Bell, principalInvestigator, https://orcid.org/0000-0003-3603-7270;Olivia Wilkins, principalInvestigator, https://orcid.org/0000-0001-9762-7069;Derek Brewin, principalInvestigator, https://orcid.org/0000-0003-4514-5441;http://purl.obolibrary.org/obo/OHMI_0000001;http://id.nlm.nih.gov/mesh/D000069599;BENEFIT, microbiome genomics, plant–microbe interactions, crop productivity, greenhouse gas mitigation
BENEFIT;benefit_3.json;BENEFIT: Nucleic_acid_submission_checklist;Nucleic_acid_submission_checklist.;en;2023-2027;Canada;RESTREINT;NA;BENEFIT Project, https://www.queensu.ca/microbes-for-agriculture/, pointOfContact;Ivan Oresnik, principalInvestigator, https://orcid.org/0000-0001-6668-1644;Matthew Bakker, principalInvestigator, https://orcid.org/0000-0003-0345-0587;Terrence Bell, principalInvestigator, https://orcid.org/0000-0003-3603-7270;Olivia Wilkins, principalInvestigator, https://orcid.org/0000-0001-9762-7069;Derek Brewin, principalInvestigator, https://orcid.org/0000-0003-4514-5441;http://purl.obolibrary.org/obo/OHMI_0000001;http://id.nlm.nih.gov/mesh/D000069599;BENEFIT, microbiome genomics, plant–microbe interactions, crop productivity, greenhouse gas mitigation
Climate Action Through Grazing (CAT-G);cat-g_1.json;CAT-G: Kinsella Cow Production Data;Version 3 of cow production data for Kinsella ranch.;en;2023-2027;Canada;RESTREINT;NA;CAT-G Project, https://cat-g.ca/, pointOfContact;James Cahill, principalInvestigator, https://orcid.org/0000-0002-4110-1516;Carolyn Fitzsimmons, principalInvestigator, https://orcid.org/0000-0001-5506-4309;NA;NA;NA;http://purl.obolibrary.org/obo/AGRO_00000426;https://id.nlm.nih.gov/mesh/M0508691.html;CAT-G, sustainable grazing, carbon sequestration, soil microbiome, greenhouse gas mitigation
Climate Action Through Grazing (CAT-G);cat-g_2.json;CAT-G: Soil Moisture Monthly;Soil moisture monthly from CAT-G Activity 3.;en;2023-2027;Canada;RESTREINT;NA;CAT-G Project, https://cat-g.ca/, pointOfContact;James Cahill, principalInvestigator, https://orcid.org/0000-0002-4110-1516;Carolyn Fitzsimmons, principalInvestigator, https://orcid.org/0000-0001-5506-4309;NA;NA;NA;http://purl.obolibrary.org/obo/AGRO_00000426;https://id.nlm.nih.gov/mesh/M0508691.html;CAT-G, sustainable grazing, carbon sequestration, soil microbiome, greenhouse gas mitigation
Climate Action Through Grazing (CAT-G);cat-g_3.json;CAT-G: Soil Data;Soil data from CAT-G.;en;2023-2027;Canada;RESTREINT;NA;CAT-G Project, https://cat-g.ca/, pointOfContact;James Cahill, principalInvestigator, https://orcid.org/0000-0002-4110-1516;Carolyn Fitzsimmons, principalInvestigator, https://orcid.org/0000-0001-5506-4309;NA;NA;NA;http://purl.obolibrary.org/obo/AGRO_00000426;https://id.nlm.nih.gov/mesh/M0508691.html;CAT-G, sustainable grazing, carbon sequestration, soil microbiome, greenhouse gas mitigation
Cell Cultured Meat;ccm_1.json;Cell Cultured Meat: Bioreactor batches;Information on bioreactor batches.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
Cell Cultured Meat;ccm_2.json;Cell Cultured Meat: Bovine_Cells;Information on bovine tissue collected and the subsequent cell populations sorted using fluorescence activated cell sorting.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
Cell Cultured Meat;ccm_3.json;Cell Cultured Meat: Chronoamperometry for Lactate Conversion;This schema will have a table of current and time. On plotting this, we can identify any reduction in analyte concentration from the gradual decline (here, Lactate). Required Time periods for conversion can be input and current would be read correspondingly by the instrument.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
